"","Year","Area","Street","Street.2"
"260",2011,"Birmingham"," Bromfordì Ln."," Bromford Lane  Erdington  B ham"
"261",2011,"Birmingham","Brookvaleì Parkì Rd.","Brookvale park Road"
"262",2011,"Birmingham"," Carhamptonì Rd."," Carhampton Road  Falcon Lodge  Sutton Colfield"
"263",2011,"Birmingham","Carshaltonì Rd.","Carshalton Road"
"264",2011,"Birmingham","Carshorltonì Rd.","carshorlton Road"
"265",2011,"Birmingham","Chesterì Rd","chester rd"
"266",2011,"Birmingham","Chesterì Rd.","CHESTER ROAD"
"267",2011,"Birmingham"," Chesterì Rd."," Chester Road  Halls garden Centre"
"268",2011,"Birmingham","Churchì Rdì Atì Chesterì Rd","CHURCH RD AT CHESTER RD"
"269",2011,"Birmingham"," Collegeì Rd."," College Road  Kingstanding  B ham"
"270",2011,"Birmingham"," Collegeì Rd."," College Road  Kingstanding  B ham"
"271",2011,"Birmingham"," Copshillì Court Ì Mountì View Ì Suttonì Coldfield"," Copshill Court  Mount View  Sutton Coldfield"
"272",2011,"Birmingham"," Dovedaleì Rd."," Dovedale Road  Erdington  B ham"
"273",2011,"Birmingham"," Downsideì Rd."," Downside Road  Erdington  B ham"
"274",2011,"Birmingham"," Eachelhurtì Rd."," Eachelhurt Road  Erdington"
"275",2011,"Birmingham","Erdingtonì Hallì Rd.","ERDINGTON HALL ROAD"
"276",2011,"Birmingham","Erdingtonì Hallì Rd.","ERDINGTON HALL ROAD"
"277",2011,"Birmingham","Erdingtonì Highì Str.","Erdington High Street"
"278",2011,"Birmingham"," Fenthamì Rd."," Fentham Road  Erdington  B ham"
"279",2011,"Birmingham","Finchleyì Rd.","FINCHLEY ROAD"
"280",2011,"Birmingham"," Finchleyì Rd."," Finchley Road  Kingstanding  B ham"
"281",2011,"Birmingham","Georgeì Frederickì Rd.","GEORGE FREDERICK ROAD"
"282",2011,"Birmingham","Goldenì Pondì Takeì Awayì Åäìýå Ì Boldmereì Rd.","Golden Pond take away åäÌÝå  Boldmere Road"
"283",2011,"Birmingham","Goodì Hopeì Hospital","good hope hospital"
"284",2011,"Birmingham","Gracechurchì Centre","Gracechurch Centre"
